model,tier,params,item_id,category,difficulty,gold_label,seed,raw_output,pred_label,is_valid,is_correct,latency_ms
Llama-3.2-3B,SLM,3B,uc6_test_001,neurological,hard,CRITICAL,42,CRITICAL,CRITICAL,True,True,9158
Llama-3.2-3B,SLM,3B,uc6_test_001,neurological,hard,CRITICAL,43,CRITICAL,CRITICAL,True,True,251
Llama-3.2-3B,SLM,3B,uc6_test_001,neurological,hard,CRITICAL,44,CRITICAL,CRITICAL,True,True,226
Llama-3.2-3B,SLM,3B,uc6_test_002,sepsis_infection,medium,CRITICAL,42,CRITICAL,CRITICAL,True,True,1037
Llama-3.2-3B,SLM,3B,uc6_test_002,sepsis_infection,medium,CRITICAL,43,CRITICAL,CRITICAL,True,True,178
Llama-3.2-3B,SLM,3B,uc6_test_002,sepsis_infection,medium,CRITICAL,44,CRITICAL,CRITICAL,True,True,185
Llama-3.2-3B,SLM,3B,uc6_test_003,neurological,medium,CRITICAL,42,CRITICAL,CRITICAL,True,True,902
Llama-3.2-3B,SLM,3B,uc6_test_003,neurological,medium,CRITICAL,43,CRITICAL,CRITICAL,True,True,176
Llama-3.2-3B,SLM,3B,uc6_test_003,neurological,medium,CRITICAL,44,CRITICAL,CRITICAL,True,True,199
Llama-3.2-3B,SLM,3B,uc6_test_004,neurological,easy,CRITICAL,42,CRITICAL,CRITICAL,True,True,983
Llama-3.2-3B,SLM,3B,uc6_test_004,neurological,easy,CRITICAL,43,CRITICAL,CRITICAL,True,True,175
Llama-3.2-3B,SLM,3B,uc6_test_004,neurological,easy,CRITICAL,44,CRITICAL,CRITICAL,True,True,180
Llama-3.2-3B,SLM,3B,uc6_test_005,neurological,medium,URGENT,42,CRITICAL,CRITICAL,True,False,893
Llama-3.2-3B,SLM,3B,uc6_test_005,neurological,medium,URGENT,43,CRITICAL,CRITICAL,True,False,189
Llama-3.2-3B,SLM,3B,uc6_test_005,neurological,medium,URGENT,44,CRITICAL,CRITICAL,True,False,186
Llama-3.2-3B,SLM,3B,uc6_test_006,trauma,easy,URGENT,42,CRITICAL,CRITICAL,True,False,991
Llama-3.2-3B,SLM,3B,uc6_test_006,trauma,easy,URGENT,43,CRITICAL,CRITICAL,True,False,170
Llama-3.2-3B,SLM,3B,uc6_test_006,trauma,easy,URGENT,44,CRITICAL,CRITICAL,True,False,209
Llama-3.2-3B,SLM,3B,uc6_test_007,sepsis_infection,easy,URGENT,42,CRITICAL,CRITICAL,True,False,1004
Llama-3.2-3B,SLM,3B,uc6_test_007,sepsis_infection,easy,URGENT,43,CRITICAL,CRITICAL,True,False,170
Llama-3.2-3B,SLM,3B,uc6_test_007,sepsis_infection,easy,URGENT,44,CRITICAL,CRITICAL,True,False,178
Llama-3.2-3B,SLM,3B,uc6_test_008,respiratory,medium,URGENT,42,CRITICAL,CRITICAL,True,False,968
Llama-3.2-3B,SLM,3B,uc6_test_008,respiratory,medium,URGENT,43,CRITICAL,CRITICAL,True,False,171
Llama-3.2-3B,SLM,3B,uc6_test_008,respiratory,medium,URGENT,44,CRITICAL,CRITICAL,True,False,182
Llama-3.2-3B,SLM,3B,uc6_test_009,trauma,medium,URGENT,42,CRITICAL,CRITICAL,True,False,1001
Llama-3.2-3B,SLM,3B,uc6_test_009,trauma,medium,URGENT,43,CRITICAL,CRITICAL,True,False,175
Llama-3.2-3B,SLM,3B,uc6_test_009,trauma,medium,URGENT,44,CRITICAL,CRITICAL,True,False,184
Llama-3.2-3B,SLM,3B,uc6_test_010,respiratory,medium,URGENT,42,URGENT,URGENT,True,True,1089
Llama-3.2-3B,SLM,3B,uc6_test_010,respiratory,medium,URGENT,43,URGENT,URGENT,True,True,197
Llama-3.2-3B,SLM,3B,uc6_test_010,respiratory,medium,URGENT,44,URGENT,URGENT,True,True,218
Llama-3.2-3B,SLM,3B,uc6_test_011,sepsis_infection,medium,URGENT,42,CRITICAL,CRITICAL,True,False,989
Llama-3.2-3B,SLM,3B,uc6_test_011,sepsis_infection,medium,URGENT,43,CRITICAL,CRITICAL,True,False,172
Llama-3.2-3B,SLM,3B,uc6_test_011,sepsis_infection,medium,URGENT,44,CRITICAL,CRITICAL,True,False,180
Llama-3.2-3B,SLM,3B,uc6_test_012,sepsis_infection,hard,URGENT,42,CRITICAL,CRITICAL,True,False,982
Llama-3.2-3B,SLM,3B,uc6_test_012,sepsis_infection,hard,URGENT,43,CRITICAL,CRITICAL,True,False,174
Llama-3.2-3B,SLM,3B,uc6_test_012,sepsis_infection,hard,URGENT,44,CRITICAL,CRITICAL,True,False,179
Llama-3.2-3B,SLM,3B,uc6_test_013,respiratory,hard,URGENT,42,CRITICAL,CRITICAL,True,False,973
Llama-3.2-3B,SLM,3B,uc6_test_013,respiratory,hard,URGENT,43,CRITICAL,CRITICAL,True,False,175
Llama-3.2-3B,SLM,3B,uc6_test_013,respiratory,hard,URGENT,44,CRITICAL,CRITICAL,True,False,180
Llama-3.2-3B,SLM,3B,uc6_test_014,cardiac,medium,URGENT,42,CRITICAL,CRITICAL,True,False,922
Llama-3.2-3B,SLM,3B,uc6_test_014,cardiac,medium,URGENT,43,CRITICAL,CRITICAL,True,False,176
Llama-3.2-3B,SLM,3B,uc6_test_014,cardiac,medium,URGENT,44,CRITICAL,CRITICAL,True,False,186
Llama-3.2-3B,SLM,3B,uc6_test_015,sepsis_infection,medium,URGENT,42,CRITICAL,CRITICAL,True,False,994
Llama-3.2-3B,SLM,3B,uc6_test_015,sepsis_infection,medium,URGENT,43,CRITICAL,CRITICAL,True,False,173
Llama-3.2-3B,SLM,3B,uc6_test_015,sepsis_infection,medium,URGENT,44,CRITICAL,CRITICAL,True,False,184
Llama-3.2-3B,SLM,3B,uc6_test_016,neurological,easy,SEMIURGENT,42,SEMIURGENT,SEMIURGENT,True,True,1042
Llama-3.2-3B,SLM,3B,uc6_test_016,neurological,easy,SEMIURGENT,43,SEMIURGENT,SEMIURGENT,True,True,253
Llama-3.2-3B,SLM,3B,uc6_test_016,neurological,easy,SEMIURGENT,44,SEMIURGENT,SEMIURGENT,True,True,310
Llama-3.2-3B,SLM,3B,uc6_test_017,neurological,easy,SEMIURGENT,42,SEMIURGENT,SEMIURGENT,True,True,989
Llama-3.2-3B,SLM,3B,uc6_test_017,neurological,easy,SEMIURGENT,43,SEMIURGENT,SEMIURGENT,True,True,262
Llama-3.2-3B,SLM,3B,uc6_test_017,neurological,easy,SEMIURGENT,44,SEMIURGENT,SEMIURGENT,True,True,258
Llama-3.2-3B,SLM,3B,uc6_test_018,respiratory,medium,SEMIURGENT,42,CRITICAL,CRITICAL,True,False,981
Llama-3.2-3B,SLM,3B,uc6_test_018,respiratory,medium,SEMIURGENT,43,URGENT,URGENT,True,False,197
Llama-3.2-3B,SLM,3B,uc6_test_018,respiratory,medium,SEMIURGENT,44,URGENT,URGENT,True,False,213
Llama-3.2-3B,SLM,3B,uc6_test_019,cardiac,easy,SEMIURGENT,42,SEMIURGENT,SEMIURGENT,True,True,1047
Llama-3.2-3B,SLM,3B,uc6_test_019,cardiac,easy,SEMIURGENT,43,SEMIURGENT,SEMIURGENT,True,True,260
Llama-3.2-3B,SLM,3B,uc6_test_019,cardiac,easy,SEMIURGENT,44,SEMIURGENT,SEMIURGENT,True,True,260
Llama-3.2-3B,SLM,3B,uc6_test_020,trauma,easy,SEMIURGENT,42,SEMIURGENT,SEMIURGENT,True,True,1047
Llama-3.2-3B,SLM,3B,uc6_test_020,trauma,easy,SEMIURGENT,43,SEMIURGENT,SEMIURGENT,True,True,249
Llama-3.2-3B,SLM,3B,uc6_test_020,trauma,easy,SEMIURGENT,44,SEMIURGENT,SEMIURGENT,True,True,267
Llama-3.2-3B,SLM,3B,uc6_test_021,respiratory,easy,SEMIURGENT,42,SEMIURGENT,SEMIURGENT,True,True,1055
Llama-3.2-3B,SLM,3B,uc6_test_021,respiratory,easy,SEMIURGENT,43,SEMIURGENT,SEMIURGENT,True,True,261
Llama-3.2-3B,SLM,3B,uc6_test_021,respiratory,easy,SEMIURGENT,44,SEMIURGENT,SEMIURGENT,True,True,272
Llama-3.2-3B,SLM,3B,uc6_test_022,trauma,easy,SEMIURGENT,42,SEMIURGENT,SEMIURGENT,True,True,1040
Llama-3.2-3B,SLM,3B,uc6_test_022,trauma,easy,SEMIURGENT,43,SEMIURGENT,SEMIURGENT,True,True,250
Llama-3.2-3B,SLM,3B,uc6_test_022,trauma,easy,SEMIURGENT,44,SEMIURGENT,SEMIURGENT,True,True,268
Llama-3.2-3B,SLM,3B,uc6_test_023,respiratory,easy,SEMIURGENT,42,SEMIURGENT,SEMIURGENT,True,True,1045
Llama-3.2-3B,SLM,3B,uc6_test_023,respiratory,easy,SEMIURGENT,43,SEMIURGENT,SEMIURGENT,True,True,245
Llama-3.2-3B,SLM,3B,uc6_test_023,respiratory,easy,SEMIURGENT,44,SEMIURGENT,SEMIURGENT,True,True,270
Llama-3.2-3B,SLM,3B,uc6_test_024,sepsis_infection,easy,SEMIURGENT,42,SEMIURGENT,SEMIURGENT,True,True,1058
Llama-3.2-3B,SLM,3B,uc6_test_024,sepsis_infection,easy,SEMIURGENT,43,SEMIURGENT,SEMIURGENT,True,True,260
Llama-3.2-3B,SLM,3B,uc6_test_024,sepsis_infection,easy,SEMIURGENT,44,SEMIURGENT,SEMIURGENT,True,True,266
Llama-3.2-3B,SLM,3B,uc6_test_025,sepsis_infection,medium,SEMIURGENT,42,URGENT,URGENT,True,False,1006
Llama-3.2-3B,SLM,3B,uc6_test_025,sepsis_infection,medium,SEMIURGENT,43,URGENT,URGENT,True,False,198
Llama-3.2-3B,SLM,3B,uc6_test_025,sepsis_infection,medium,SEMIURGENT,44,URGENT,URGENT,True,False,210
Llama-3.2-3B,SLM,3B,uc6_test_026,cardiac,easy,SEMIURGENT,42,SEMIURGENT,SEMIURGENT,True,True,1062
Llama-3.2-3B,SLM,3B,uc6_test_026,cardiac,easy,SEMIURGENT,43,SEMIURGENT,SEMIURGENT,True,True,252
Llama-3.2-3B,SLM,3B,uc6_test_026,cardiac,easy,SEMIURGENT,44,SEMIURGENT,SEMIURGENT,True,True,277
Llama-3.2-3B,SLM,3B,uc6_test_027,trauma,easy,NONURGENT,42,SEMIURGENT,SEMIURGENT,True,False,983
Llama-3.2-3B,SLM,3B,uc6_test_027,trauma,easy,NONURGENT,43,SEMIURGENT,SEMIURGENT,True,False,253
Llama-3.2-3B,SLM,3B,uc6_test_027,trauma,easy,NONURGENT,44,SEMIURGENT,SEMIURGENT,True,False,264
Llama-3.2-3B,SLM,3B,uc6_test_028,trauma,easy,NONURGENT,42,SEMIURGENT,SEMIURGENT,True,False,996
Llama-3.2-3B,SLM,3B,uc6_test_028,trauma,easy,NONURGENT,43,SEMIURGENT,SEMIURGENT,True,False,257
Llama-3.2-3B,SLM,3B,uc6_test_028,trauma,easy,NONURGENT,44,SEMIURGENT,SEMIURGENT,True,False,302
Llama-3.2-3B,SLM,3B,uc6_test_029,sepsis_infection,easy,NONURGENT,42,NONURGENT,NONURGENT,True,True,950
Llama-3.2-3B,SLM,3B,uc6_test_029,sepsis_infection,easy,NONURGENT,43,NONURGENT,NONURGENT,True,True,223
Llama-3.2-3B,SLM,3B,uc6_test_029,sepsis_infection,easy,NONURGENT,44,NONURGENT,NONURGENT,True,True,244
Llama-3.2-3B,SLM,3B,uc6_test_030,cardiac,easy,NONURGENT,42,SEMIURGENT,SEMIURGENT,True,False,1077
Llama-3.2-3B,SLM,3B,uc6_test_030,cardiac,easy,NONURGENT,43,SEMIURGENT,SEMIURGENT,True,False,253
Llama-3.2-3B,SLM,3B,uc6_test_030,cardiac,easy,NONURGENT,44,SEMIURGENT,SEMIURGENT,True,False,257
Phi4-Mini,SLM,3.8B,uc6_test_001,neurological,hard,CRITICAL,42,CRITICAL,CRITICAL,True,True,7955
Phi4-Mini,SLM,3.8B,uc6_test_001,neurological,hard,CRITICAL,43,CRITICAL,CRITICAL,True,True,220
Phi4-Mini,SLM,3.8B,uc6_test_001,neurological,hard,CRITICAL,44,CRITICAL,CRITICAL,True,True,218
Phi4-Mini,SLM,3.8B,uc6_test_002,sepsis_infection,medium,CRITICAL,42,CRITICAL,CRITICAL,True,True,1149
Phi4-Mini,SLM,3.8B,uc6_test_002,sepsis_infection,medium,CRITICAL,43,CRITICAL,CRITICAL,True,True,212
Phi4-Mini,SLM,3.8B,uc6_test_002,sepsis_infection,medium,CRITICAL,44,CRITICAL,CRITICAL,True,True,217
Phi4-Mini,SLM,3.8B,uc6_test_003,neurological,medium,CRITICAL,42,CRITICAL,CRITICAL,True,True,1135
Phi4-Mini,SLM,3.8B,uc6_test_003,neurological,medium,CRITICAL,43,CRITICAL,CRITICAL,True,True,211
Phi4-Mini,SLM,3.8B,uc6_test_003,neurological,medium,CRITICAL,44,CRITICAL,CRITICAL,True,True,221
Phi4-Mini,SLM,3.8B,uc6_test_004,neurological,easy,CRITICAL,42,CRITICAL,CRITICAL,True,True,1169
Phi4-Mini,SLM,3.8B,uc6_test_004,neurological,easy,CRITICAL,43,CRITICAL,CRITICAL,True,True,223
Phi4-Mini,SLM,3.8B,uc6_test_004,neurological,easy,CRITICAL,44,CRITICAL,CRITICAL,True,True,222
Phi4-Mini,SLM,3.8B,uc6_test_005,neurological,medium,URGENT,42,URGENT,URGENT,True,True,1147
Phi4-Mini,SLM,3.8B,uc6_test_005,neurological,medium,URGENT,43,URGENT,URGENT,True,True,214
Phi4-Mini,SLM,3.8B,uc6_test_005,neurological,medium,URGENT,44,URGENT,URGENT,True,True,220
Phi4-Mini,SLM,3.8B,uc6_test_006,trauma,easy,URGENT,42,CRITICAL,CRITICAL,True,False,1352
Phi4-Mini,SLM,3.8B,uc6_test_006,trauma,easy,URGENT,43,CRITICAL,CRITICAL,True,False,222
Phi4-Mini,SLM,3.8B,uc6_test_006,trauma,easy,URGENT,44,CRITICAL,CRITICAL,True,False,225
Phi4-Mini,SLM,3.8B,uc6_test_007,sepsis_infection,easy,URGENT,42,CRITICAL,CRITICAL,True,False,1250
Phi4-Mini,SLM,3.8B,uc6_test_007,sepsis_infection,easy,URGENT,43,CRITICAL,CRITICAL,True,False,224
Phi4-Mini,SLM,3.8B,uc6_test_007,sepsis_infection,easy,URGENT,44,CRITICAL,CRITICAL,True,False,228
Phi4-Mini,SLM,3.8B,uc6_test_008,respiratory,medium,URGENT,42,CRITICAL,CRITICAL,True,False,1310
Phi4-Mini,SLM,3.8B,uc6_test_008,respiratory,medium,URGENT,43,CRITICAL,CRITICAL,True,False,220
Phi4-Mini,SLM,3.8B,uc6_test_008,respiratory,medium,URGENT,44,CRITICAL,CRITICAL,True,False,212
Phi4-Mini,SLM,3.8B,uc6_test_009,trauma,medium,URGENT,42,URGENT,URGENT,True,True,1152
Phi4-Mini,SLM,3.8B,uc6_test_009,trauma,medium,URGENT,43,URGENT,URGENT,True,True,220
Phi4-Mini,SLM,3.8B,uc6_test_009,trauma,medium,URGENT,44,URGENT,URGENT,True,True,218
Phi4-Mini,SLM,3.8B,uc6_test_010,respiratory,medium,URGENT,42,URGENT,URGENT,True,True,1225
Phi4-Mini,SLM,3.8B,uc6_test_010,respiratory,medium,URGENT,43,URGENT,URGENT,True,True,223
Phi4-Mini,SLM,3.8B,uc6_test_010,respiratory,medium,URGENT,44,URGENT,URGENT,True,True,220
Phi4-Mini,SLM,3.8B,uc6_test_011,sepsis_infection,medium,URGENT,42,CRITICAL,CRITICAL,True,False,1358
Phi4-Mini,SLM,3.8B,uc6_test_011,sepsis_infection,medium,URGENT,43,CRITICAL,CRITICAL,True,False,211
Phi4-Mini,SLM,3.8B,uc6_test_011,sepsis_infection,medium,URGENT,44,CRITICAL,CRITICAL,True,False,225
Phi4-Mini,SLM,3.8B,uc6_test_012,sepsis_infection,hard,URGENT,42,URGENT,URGENT,True,True,1415
Phi4-Mini,SLM,3.8B,uc6_test_012,sepsis_infection,hard,URGENT,43,URGENT,URGENT,True,True,220
Phi4-Mini,SLM,3.8B,uc6_test_012,sepsis_infection,hard,URGENT,44,URGENT,URGENT,True,True,220
Phi4-Mini,SLM,3.8B,uc6_test_013,respiratory,hard,URGENT,42,URGENT,URGENT,True,True,1226
Phi4-Mini,SLM,3.8B,uc6_test_013,respiratory,hard,URGENT,43,URGENT,URGENT,True,True,254
Phi4-Mini,SLM,3.8B,uc6_test_013,respiratory,hard,URGENT,44,URGENT,URGENT,True,True,221
Phi4-Mini,SLM,3.8B,uc6_test_014,cardiac,medium,URGENT,42,URGENT,URGENT,True,True,1572
Phi4-Mini,SLM,3.8B,uc6_test_014,cardiac,medium,URGENT,43,URGENT,URGENT,True,True,255
Phi4-Mini,SLM,3.8B,uc6_test_014,cardiac,medium,URGENT,44,URGENT,URGENT,True,True,230
Phi4-Mini,SLM,3.8B,uc6_test_015,sepsis_infection,medium,URGENT,42,CRITICAL,CRITICAL,True,False,1249
Phi4-Mini,SLM,3.8B,uc6_test_015,sepsis_infection,medium,URGENT,43,CRITICAL,CRITICAL,True,False,210
Phi4-Mini,SLM,3.8B,uc6_test_015,sepsis_infection,medium,URGENT,44,CRITICAL,CRITICAL,True,False,217
Phi4-Mini,SLM,3.8B,uc6_test_016,neurological,easy,SEMIURGENT,42,URGENT,URGENT,True,False,1139
Phi4-Mini,SLM,3.8B,uc6_test_016,neurological,easy,SEMIURGENT,43,URGENT,URGENT,True,False,218
Phi4-Mini,SLM,3.8B,uc6_test_016,neurological,easy,SEMIURGENT,44,URGENT,URGENT,True,False,217
Phi4-Mini,SLM,3.8B,uc6_test_017,neurological,easy,SEMIURGENT,42,URGENT,URGENT,True,False,1122
Phi4-Mini,SLM,3.8B,uc6_test_017,neurological,easy,SEMIURGENT,43,URGENT,URGENT,True,False,211
Phi4-Mini,SLM,3.8B,uc6_test_017,neurological,easy,SEMIURGENT,44,URGENT,URGENT,True,False,219
Phi4-Mini,SLM,3.8B,uc6_test_018,respiratory,medium,SEMIURGENT,42,URGENT,URGENT,True,False,1366
Phi4-Mini,SLM,3.8B,uc6_test_018,respiratory,medium,SEMIURGENT,43,URGENT,URGENT,True,False,213
Phi4-Mini,SLM,3.8B,uc6_test_018,respiratory,medium,SEMIURGENT,44,URGENT,URGENT,True,False,219
Phi4-Mini,SLM,3.8B,uc6_test_019,cardiac,easy,SEMIURGENT,42,URGENT,URGENT,True,False,1140
Phi4-Mini,SLM,3.8B,uc6_test_019,cardiac,easy,SEMIURGENT,43,URGENT,URGENT,True,False,218
Phi4-Mini,SLM,3.8B,uc6_test_019,cardiac,easy,SEMIURGENT,44,URGENT,URGENT,True,False,221
Phi4-Mini,SLM,3.8B,uc6_test_020,trauma,easy,SEMIURGENT,42,URGENT,URGENT,True,False,1236
Phi4-Mini,SLM,3.8B,uc6_test_020,trauma,easy,SEMIURGENT,43,URGENT,URGENT,True,False,213
Phi4-Mini,SLM,3.8B,uc6_test_020,trauma,easy,SEMIURGENT,44,URGENT,URGENT,True,False,217
Phi4-Mini,SLM,3.8B,uc6_test_021,respiratory,easy,SEMIURGENT,42,URGENT,URGENT,True,False,1337
Phi4-Mini,SLM,3.8B,uc6_test_021,respiratory,easy,SEMIURGENT,43,URGENT,URGENT,True,False,212
Phi4-Mini,SLM,3.8B,uc6_test_021,respiratory,easy,SEMIURGENT,44,URGENT,URGENT,True,False,218
Phi4-Mini,SLM,3.8B,uc6_test_022,trauma,easy,SEMIURGENT,42,URGENT,URGENT,True,False,1149
Phi4-Mini,SLM,3.8B,uc6_test_022,trauma,easy,SEMIURGENT,43,URGENT,URGENT,True,False,218
Phi4-Mini,SLM,3.8B,uc6_test_022,trauma,easy,SEMIURGENT,44,URGENT,URGENT,True,False,213
Phi4-Mini,SLM,3.8B,uc6_test_023,respiratory,easy,SEMIURGENT,42,URGENT,URGENT,True,False,1236
Phi4-Mini,SLM,3.8B,uc6_test_023,respiratory,easy,SEMIURGENT,43,URGENT,URGENT,True,False,214
Phi4-Mini,SLM,3.8B,uc6_test_023,respiratory,easy,SEMIURGENT,44,URGENT,URGENT,True,False,218
